"","date","wcond","temp","atemp","hum","wind","count"
"1",2022-01-01,2,9.1,13.2,79.78,10.43,982
"2",2022-01-02,2,9.9,12.7,68.91,16.16,797
"3",2022-01-03,1,3.1,4.5,43.29,16.14,1351
"4",2022-01-04,1,3.2,5.6,58.45,10.42,1559
"5",2022-01-05,1,4.3,6.5,43.26,12.15,1597
"6",2022-01-06,1,3.4,6.7,51.31,5.82,1603
"7",2022-01-07,2,3.1,5.4,49.37,10.97,1505
"8",2022-01-08,2,1.8,3.1,53.05,17.34,957
"9",2022-01-09,1,0.7,0.8,42.98,23.53,817
"10",2022-01-10,1,1.2,2.5,47.81,14.51,1319
"11",2022-01-11,2,1.9,4.6,67.95,7.94,1259
"12",2022-01-12,1,2.1,3,59.35,19.8,1159
"13",2022-01-13,1,1.8,2.5,46.57,19.56,1401
"14",2022-01-14,1,1.6,4.4,53.24,8.23,1419
"15",2022-01-15,2,4.6,7.4,49.38,10.27,1252
"16",2022-01-16,1,4.5,6.7,47.89,12.25,1201
"17",2022-01-17,2,2.2,3.8,53.21,12.61,999
"18",2022-01-18,2,3.9,6.6,85.31,9.54,678
"19",2022-01-19,2,7,9.9,73.43,13.54,1646
"20",2022-01-20,2,5.7,7.8,53.29,12.73,1925
"21",2022-01-21,1,2.3,2.9,45.25,22.96,1540
"22",2022-01-22,1,-2.6,-1,39.6,11.18,979
"23",2022-01-23,1,-1,-0.1,43.22,16.03,981
"24",2022-01-24,1,-1,0.9,48.68,10.29,1410
"25",2022-01-25,2,4.2,6.7,61.08,8.44,1983
"26",2022-01-26,3,3.9,5.2,85.39,19.1,501
"27",2022-01-27,1,3,6,68.06,7.4,428
"28",2022-01-28,2,3.3,6.2,78.51,8.01,1164
"29",2022-01-29,1,3.1,5.6,64.52,9.45,1094
"30",2022-01-30,1,3.9,7.5,71.5,4.81,1095
"31",2022-01-31,2,2.4,4.3,59.77,12.17,1498
"32",2022-02-01,2,2.9,6.7,82.13,3.46,1354
"33",2022-02-02,2,5.7,7.7,76.77,17.18,1524
